,SUBSTÂNCIA
514,DITOSILATO DE LAPATINIBE
515,CLORIDRATO  DE ONDANSETRONA DI-HIDRATADO
516,CLORIDRATO DE TOPOTECANA
517,VALSARTANA;SACUBITRIL
518,MIDOSTAURINA
519,SUCCINATO DE RIBOCICLIBE
520,ERENUMABE
521,ALPELISIBE
522,CRIZANLIZUMABE
523,VORETIGENO NEPARVOVEQUE
524,ONASEMNOGENO ABEPARVOVEQUE
525,OFATUMUMABE
526,DICLORIDRATO DE CAPMATINIBE MONOIDRATADO
527,ÁCIDO FUMÁRICO SIPONIMODE
528,TISAGENLECLEUCEL
529,HIDROXIBENZOATO DE VIMINOL
530,ÁCIDO URSODESOXICÓLICO
531,FOSFOMICINA TROMETAMOL
532,FENDIZOATO DE CLOPERASTINA
533,IBUPROFENO ARGININA
534,IBUPROFENO;ARGININA
535,SULFATO DE NEOMICINA;ACETATO DE CLOSTEBOL
536,MESILATO DE SAFINAMIDA
537,FENILALANINA;PROLINA;TRIPTOFANO;CLORETO DE CÁLCIO DIIDRATADO;ACETATO DE SÓDIO;LEVOVALINA;SERINA;HIDRÓXIDO DE SÓDIO;TREONINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ION CITRATO;ÁCIDO ASPÁRTICO;HIDRÓXIDO DE POTÁSSIO;ARGININA
538,FENILALANINA;PROLINA;TRIPTOFANO;CLORETO DE CÁLCIO DIIDRATADO;ACETATO DE SÓDIO;LEVOVALINA;CLORIDRATO DE HISTIDINA;SERINA;HIDRÓXIDO DE SÓDIO;TREONINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ÁCIDO ASPÁRTICO;ACETATO DE MAGNÉSIO;HIDRÓXIDO DE POTÁSSIO;ARGININA
539,SUCCINILGELATINA
540,FENILALANINA;TRIPTOFANO;CLORIDRATO DE HISTIDINA;HIDRÓXIDO DE SÓDIO;ACETATO DE POTÁSSIO;TREONINA;ISOLEUCINA;LEVOMETIONINA;ION CITRATO;ÁCIDO ASPÁRTICO;CLORETO DE SÓDIO;PROLINA;CLORETO DE CÁLCIO DIIDRATADO;ACETATO DE SÓDIO;LEVOVALINA;GLICEROL;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE;LEUCINA;GLICINA;ALANINA;ACETATO DE MAGNÉSIO;ARGININA
541,FENILALANINA;PROLINA;TRIPTOFANO;CLORETO DE CÁLCIO DIIDRATADO;ACETATO DE SÓDIO;LEVOVALINA;GLICEROL;SERINA;ACETATO DE POTÁSSIO;TREONINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ÁCIDO ASPÁRTICO;ACETATO DE MAGNÉSIO;ARGININA;CLORETO DE SÓDIO
542,FENILALANINA;TRIPTOFANO;GLICOSE ANIDRA;CLORIDRATO DE HISTIDINA MONOIDRATADO;HIDRÓXIDO DE SÓDIO;ACETATO DE POTÁSSIO;TREONINA;ISOLEUCINA;ÁCIDO ASPÁRTICO;ÓLEO DE SOJA;TRIGLICERÍDEOS DE CADEIA MÉDIA;CLORETO DE SÓDIO;PROLINA;CLORETO DE CÁLCIO DIIDRATADO;LEVOVALINA;SERINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;ACETATO DE SÓDIO TRIHIDRATADO;GLICOSE MONOIDRATADA;ACETATO DE MAGNÉSIO TETRAIDRATADO;LEUCINA;METIONINA;FOSFATO DE SÓDIO MONOBÁSICO DIIDRATADO;GLICINA;ALANINA;ARGININA;ACETATO DE ZINCO DI-HIDRATADO
543,FENILALANINA;PROLINA;TRIPTOFANO;ACETATO DE SÓDIO;LEVOVALINA;GLICEROL;SERINA;ACETATO DE POTÁSSIO;TREONINA;ÁCIDO GLUTÂMICO;GLICOSE;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ÁCIDO ASPÁRTICO;ARGININA;CLORETO DE SÓDIO
544,FENILALANINA;PROLINA;TRIPTOFANO;CLORETO DE CÁLCIO DIIDRATADO;ACETATO DE SÓDIO;LEVOVALINA;GLICEROL;SERINA;HIDRÓXIDO DE SÓDIO;ACETATO DE POTÁSSIO;TREONINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ÁCIDO ASPÁRTICO;ACETATO DE MAGNÉSIO;ARGININA;CLORETO DE SÓDIO
545,FENILALANINA;PROLINA;TRIPTOFANO;CLORETO DE CÁLCIO DIIDRATADO;ACETATO DE SÓDIO;LEVOVALINA;GLICEROL;SERINA;ACETATO DE POTÁSSIO;TREONINA;ÁCIDO GLUTÂMICO;CLORIDRATO DE LISINA;GLICOSE;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ÁCIDO ASPÁRTICO;ARGININA;CLORETO DE SÓDIO
546,LEUCINA
547,ÓLEO DE SOJA;TRIGLICERÍDEOS DE CADEIA MÉDIA;TRIGLICERÍDIOS C10-18
548,FENILALANINA;PROLINA;TRIPTOFANO;VALINA;SERINA;HISTIDINA;TREONINA;ÁCIDO GLUTÂMICO;TIROSINA;METIONINA (11 C);LEUCINA;GLICINA;ISOLEUCINA;ALANINA;ÁCIDO ASPÁRTICO;ACETATO DE LISINA;ARGININA;LISINA
549,FENILALANINA;PROLINA;TRIPTOFANO;VALINA;SERINA;HISTIDINA;TREONINA;ÁCIDO GLUTÂMICO;TIROSINA;LEUCINA;GLICINA;ISOLEUCINA;LEVOMETIONINA;ALANINA;ÁCIDO ASPÁRTICO;ACETATO DE LISINA;ARGININA;LISINA
550,ACETATO DE SÓDIO TRIIDRATADO;GLICONATO DE SÓDIO;CLORETO DE MAGNÉSIO HEXAIDRATADO;CLORETO DE POTÁSSIO;CLORETO DE SÓDIO
551,IBUPROFENO
552,MIDAZOLAM
553,SACCHAROMYCES BOULARDII
554,LEVEDURA
555,CLORIDRATO DE METFORMINA
556,HEMIFUMARATO DE BISOPROLOL
557,HIDROCLOROTIAZIDA;HEMIFUMARATO DE BISOPROLOL
558,LEVOTIROXINA SÓDICA
559,GLIBENCLAMIDA;CLORIDRATO DE METFORMINA
560,LORATADINA
561,CETUXIMABE
562,CITRATO DE SÓDIO;GLICOSE;CITRATO DE POTÁSSIO;CLORETO DE SÓDIO
563,BETAINTERFERONA 1A
564,CITRATO DE CLOMIFENO
565,ALFALUTROPINA
566,ALFALUTROPINA;ALFAFOLITROPINA
567,PRAVASTATINA SÓDICA
568,ALFAFOLITROPINA
569,PROGESTERONA
570,ACETATO DE CETRORRELIX
571,BISOPROLOL;HIDROCLOROTIAZIDA
572,ALFACORIOGONADOTROPINA
573,SOMATOSTATINA
574,AVELUMABE
575,GLICLAZIDA;CLORIDRATO DE METFORMINA
576,CLADRIBINA
577,BESILATO DE ANLODIPINO;HEMIFUMARATO DE BISOPROLOL
578,CLORIDRATO DE TEPOTINIBE MONOIDRATADO
579,CLORIDRATO DE BUPROPIONA;CLORIDRATO DE NALTREXONA
580,PERMETRINA
581,CLORETO DE BENZETÔNIO
582,FITOMENADIONA
583,CLORIDRATO DE BENSERAZIDA;LEVODOPA
584,FLUNITRAZEPAM
585,DIAZEPAM
586,CILAZAPRIL
587,ALFADORNASE
588,HIDROCLOROTIAZIDA;CILAZAPRIL
589,FOSFATO DE OSELTAMIVIR
590,BETAEPOETINA
591,FLUOCINOLONA ACETONIDA;CLORIDRATO DE LIDOCAINA;SULFATO DE NEOMICINA;SULFATO DE POLIMIXINA B
592,VALGANCICLOVIR
593,ENFUVIRTIDA
594,BEVACIZUMABE
595,TOCILIZUMABE
596,VEMURAFENIBE
597,PERTUZUMABE
598,PERTUZUMABE;TRASTUZUMABE
599,TRASTUZUMABE ENTANSINA
600,OBINUTUZUMABE
601,HEMIFUMARATO DE COBIMETINIBE
602,PIRFENIDONA
603,VISMODEGIBE
604,ATEZOLIZUMABE
605,OCRELIZUMABE
606,EMICIZUMABE
607,CLORIDRATO DE ALECTINIBE
608,RISDIPLAM
609,ION CITRATO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO
610,ACIDO CITRICO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO
611,FOSFATO DE CÁLCIO DIBÁSICO;HIPOFOSFITO DE SÓDIO;PALMITATO DE RETINOL;FOSFATO DE SÓDIO MONOBÁSICO;ÓLEO DE FÍGADO DE BACALHAU;ÓLEO DE SOJA;COLECALCIFEROL
612,HIPOFOSFITO DE SÓDIO;PALMITATO DE RETINOL;COLECALCIFEROL
613,CLAVULANATO DE POTÁSSIO;ÁCIDO CLAVULÂNICO;AMOXICILINA TRI-HIDRATADA
614,MUPIROCINA
615,ANTÍGENO DE SUPERFÍCIE DA HEPATITE B
616,PROTEÍNA ANTIGÊNICA DE SUPERFÍCIE (HEP. B)
617,ALBENDAZOL
618,VÍRUS DA HEPATITE A INATIVADO
619,VÍRUS DA HEPATITE A INATIVADO;ANTÍGENO DE SUPERFÍCIE DA HEPATITE B
620,VÍRUS DA VARICELA -ZOSTER
621,SULFATO DE MAGNÉSIO
622,ION CITRATO;BICARBONATO DE SÓDIO;CARBONATO DE SÓDIO;ÁCIDO ACETILSALICÍLICO
623,TRANILCIPROMINA
624,VÍRUS DA CAXUMBA;VÍRUS DA RUBEOLA;VÍRUS DO SARAMPO
625,"VACINA SARAMPO, CAXUMBA, RUBÉOLA (ATENUADA)"
626,DICLORIDRATO DE TRIFLUOPERAZINA
627,CONJUGADO DE POLISSACARÍDEO CAPSULAR DE HAEMOPHILUS INFLUENZAE TIPO B E TOXÓIDE TETÂNICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;PERTACTINA;POLIOVÍRUS INATIVADOS TIPO 1
628,TOXÓIDE PERTUSSIS;TOXÓIDE DIFTÉRICO;PERTACTINA;TOXÓIDE TETÂNICO;HEMAGLUTININA FILAMENTOSA
629,TOXÓIDE PERTUSSIS;CONJUGADO DE POLISSACARÍDEO CAPSULAR DE HAEMOPHILUS INFLUENZAE TIPO B E TOXÓIDE TETÂNICO;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;ANTÍGENO DE SUPERFÍCIE DA HEPATITE B;TOXÓIDE DIFTÉRICO;PERTACTINA;POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE TETÂNICO;HEMAGLUTININA FILAMENTOSA
630,CLORIDRATO DE CIMETIDINA
631,CEFTAZIDIMA
632,CLORIDRATO DE VALACICLOVIR
633,LACIDIPINO
634,SULFATO DE SALBUTAMOL;GUAIFENESINA
635,PROPIONATO DE CLOBETASOL
636,AXETILCEFUROXIMA
637,AXETIL CEFUROXIMA
638,ADEFOVIR DIVIPOXILA
639,VALERATO DE BETAMETASONA
640,PARACETAMOL;CAFEÍNA ANIDRA
641,HIDROXINAFTOATO DE SALMETEROL
642,SULFATO DE SALBUTAMOL
643,PROPIONATO DE FLUTICASONA;HIDROXINAFTOATO DE SALMETEROL
644,DUTASTERIDA
645,DICLORIDRATO DE CETIRIZINA
646,ROTAVÍRUS HUMANO ATENUADO
647,FOSAMPRENAVIR
648,FOSAMPRENAVIR CÁLCICO
649,CLORIDRATO DE NARATRIPTANA
650,ZANAMIVIR
651,HPV-16 L1 ;HPV-18 L1
652,RETAPAMULINA
653,FUROATO DE FLUTICASONA
654,POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 14;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 18C;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 4;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 7F;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 19F;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 5;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 9V;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 6B;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 1;POLISSACARÍDEO CONJUGADO DE STREPTOCOCCUS PNEUMONIAE TIPO 23F
655,CARBONATO DE CÁLCIO
656,VÍRUS DA CAXUMBA;VÍRUS DA RUBEOLA;VÍRUS DO SARAMPO;VÍRUS DA VARICELA -ZOSTER
657,AMBRISENTANA
658,TOXÓIDE PERTUSSIS;POLIOVÍRUS INATIVADOS TIPO 3;POLIOVÍRUS INATIVADOS TIPO 2;TOXÓIDE DIFTÉRICO;PERTACTINA;POLIOVÍRUS INATIVADOS TIPO 1;TOXÓIDE TETÂNICO;HEMAGLUTININA FILAMENTOSA
659,MARAVIROQUE
660,CLORIDRATO DE TANSULOSINA
661,DUTASTERIDA;CLORIDRATO DE TANSULOSINA
662,BELIMUMABE
663,TRIFENATATO DE VILANTEROL;FUROATO DE FLUTICASONA
664,DOLUTEGRAVIR SÓDICO
665,CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B;CEPA INFLUENZA TIPO B
666,TRIFENATATO DE VILANTEROL
667,PROTEÍNA CARREADORA;OLIGOSSACARÍDEO MENINGOCÓCICO DO GRUPO C
668,"PROTEÍNA DE FUSÃO FHBP RECOMBINANTE DE NEISSERIA MENINGITIDIS GRUPO B;PROTEÍNA DE FUSÃO NHBA RECOMBINANTE DE NEISSERIA MENINGITIDIS GRUPO B;PROTEÍNA NAD A RECOMBINANTE DE NEISSERIA MENINGITIDIS GRUPO B;VESÍCULAS DE MEMBRANA EXTERNA (OMV) DE NEISSERIA MENINGITIDIS GRUPO B, CEPA NZ98/254"
669,OLIGOSSACARÍDEO MENINGOCÓCICO Y;OLIGOSSACARÍDEO MENINGOCÓCICO W135;OLIGOSSACARÍDEO MENINGOCÓCICO DO GRUPO C;OLIGOSSACARÍDEO MENINGOCÓCICO A
670,BROMETO DE UMECLIDÍNIO
671,CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO;ÁCIDO ASCÓRBICO
672,DOLUTEGRAVIR SÓDICO;SULFATO DE ABACAVIR;LAMIVUDINA
673,CARBONATO DE CÁLCIO;LACTOGLICONATO DE CÁLCIO
674,DICLOFENACO DIETILAMÔNIO
675,DICLOFENACO DE POTÁSSIO;DICLOFENACO DIETILAMÔNIO
676,TRIBENOSÍDEO;CLORIDRATO DE LIDOCAINA
677,NITRATO DE NAFAZOLINA
678,CLORIDRATO DE TERBINAFINA
679,CLORIDRATO DE XILOMETAZOLINA
680,PARACETAMOL;ÁCIDO ASCÓRBICO;CLORIDRATO DE FENILEFRINA;MALEATO DE DIMETINDENO;RUTOSÍDEO
681,MEPOLIZUMABE
682,NICOTINA
683,PEROXIDO DE BENZOILA;CLINDAMICINA
684,PERÓXIDO DE BENZOÍLA;CLINDAMICINA
685,TRETINOÍNA
686,SUCCINATO DE TAFENOQUINA
687,TRIFENATATO DE VILANTEROL;BROMETO DE UMECLIDÍNIO;FUROATO DE FLUTICASONA
688,TOSILATO DE NIRAPARIBE MONOIDRATADO
689,VACINA HERPES-ZÓSTER (RECOMBINANTE)
690,LAMIVUDINA;DOLUTEGRAVIR
691,FOSTENSAVIR TROMETAMOL
692,DOSTARLIMABE
693,LIDOCAÍNA;HIALURONIDASE;NEOMICINA
694,CLORIDRATO DE ISOXSUPRINA
695,CLORETO DE OXIBUTININA
696,COLCHICINA
697,CLORIDRATO DE IOIMBINA
698,SULFASSALAZINA
699,CITRATO DE POTÁSSIO
700,CITRATO DE POTÁSSIO MONOIDRATADO
701,CLORIDRATO DE TRAZODONA
702,PRIMIDONA
703,CAPSAICINA
704,DIETILESTILBESTROL
705,HEXACETONIDO DE TRIANCINOLONA
706,ETOSSUXIMIDA
707,ETODOLACO
708,BETAISTINA
709,SULFATO DE HIDROXICLOROQUINA
710,HIALURONIDASE;VALERATO DE BETAMETASONA
711,MECLOZINA
712,BROMETO DE OTILÔNIO
713,"LISADOS BACTERIANOS (STAPHYLOCOCCUS AUREUS, STREPTOCOCCUS PYOGENES, STREPTOCOCCUS MITIS, STREPTOCOCCUS PNEUMONIAE, KLEBSIELLA PNEUMONIAE, BRANHAMELLA CATARRHALIS, HAEMOPHILUS INFLUENZAE)"
714,CLORIDRATO DE TRIEXIFENIDIL
715,STRYPHNODENDRON BARBATIMAN MART.
716,HARPAGOPHYTUM PROCUMBENS DC. EX MEISSN.
717,CLORIDRATO DE CICLOBENZAPRINA;CAFEÍNA ANIDRA
718,DOBESILATO DE CÁLCIO
719,PANTOPRAZOL MAGNÉSICO DI-HIDRATADO
720,MENAEPTENONA;COLECALCIFEROL
721,CLORIDRATO DE MECLIZINA
722,CLORIDRATO DE MEMANTINA;CLORIDRATO DE DONEPEZILA
723,CLORIDRATO DE MEMANTINA;CLORIDRATO DE DONEPEZILA MONOIDRATADO
724,CLORETO DE TRÓSPIO
725,RAMELTEONA
726,GLICEROL
727,TIROTRICINA;SULFATO DE HIDROXIQUINOLINA
728,SULFATO DE HIDROXICLOROQUINA;TIROTRICINA
729,TIROTRICINA;CLORIDRATO DE LIDOCAINA;QUINOSOL
730,ÁCIDO BENZÓICO;TERPINA MONOIDRATADA;MENTOL;EUCALIPTOL
731,OXETACAÍNA;HIDRÓXIDO DE ALUMÍNIO;HIDRÓXIDO DE MAGNÉSIO
732,BORATO DE SÓDIO;CLORETO DE CETILPIRIDÍNIO;BENZOCAÍNA
733,DROPROPIZINA
734,CARISOPRODOL;PARACETAMOL;CAFEÍNA;DICLOFENACO SÓDICO
735,AMINAFTONA
736,ASPARTATO DE ORNITINA;CLORIDRATO DE ARGININA;CITRULINA
737,MONONITRATO DE ISOSSORBIDA
738,NIMODIPINO
739,PIDOLATO DE PIRIDOXINA
740,SULFATO DE NEOMICINA;SULFATO DE POLIMIXINA B;ACETATO DE PREDNISOLONA
741,ACETATO DE PREDNISOLONA
742,FLUORMETOLONA
743,CLORIDRATO DE NAFAZOLINA;SULFATO DE ZINCO
744,OFLOXACINO
745,CLORIDRATO DE LEVOBUNOLOL
746,FLURBIPROFENO SÓDICO
747,TOXINA BOTULÍNICA A
748,CETOROLACO TROMETAMINA
749,CLORIDRATO DE TETRACAÍNA;CLORIDRATO DE FENILEFRINA
750,HIPROMELOSE
751,CLORANFENICOL;LEVOMETIONINA;ACETATO DE RETINOL
752,CLORIDRATO DE CIPROFLOXACINO ;DEXAMETASONA
753,SULFATO DE ATROPINA
754,CROMOGLICATO DE SODIO
755,CLORETO DE BENZALCÔNIO;ÁCIDO BÓRICO
756,VITELINATO DE PRATA
757,CLORIDRATO DE PILOCARPINA
758,CLORIDRATO DE CICLOPENTOLATO
759,CARBÔMER 340
760,CARMELOSE SÓDICA
761,BIMATOPROSTA
762,GATIFLOXACINO
763,ÁLCOOL POLIVINÍLICO
764,MALEATO ÁCIDO DE TIMOLOL;TARTARATO DE BRIMONIDINA
765,CLORIDRATO DE EPINASTINA
766,MALEATO ÁCIDO DE TIMOLOL;BIMATOPROSTA
767,ÁLCOOL POLIVINÍLICO;CLORIDRATO DE FENILEFRINA
768,GATIFLOXACINO SESQUI-HIDRATADO;ACETATO DE PREDNISOLONA
769,ALCAFTADINA
770,CLORIDRATO DE VILAZODONA
771,ÁCIDO DESOXICÓLICO
772,MALEATO ÁCIDO DE TIMOLOL;TARTARATO DE BRIMONIDINA;BIMATOPROSTA
773,MALEATO DE TIMOLOL;TARTARATO DE BRIMONIDINA
774,FATOR XIII DE COAGULAÇÃO
775,IMUNOGLOBULINA G
776,FATOR VIII DE COAGULAÇÃO
777,FATOR DE VON WILLEBRAND
778,FATOR VIII DE COAGULAÇÃO;FATOR VON WILLEBRAND
779,ALBUMINA HUMANA
780,IMUNOGLOBULINA ANTITETÂNICA
781,FATOR XIII;APROTININA;TROMBINA;FIBRINOGÊNIO
782,ESTREPTOQUINASE
783,FATOR II DE COAGULAÇÃO;FATOR IX DE COAGULAÇÃO;PROTEÍNA C;PROTEÍNA S;FATOR X DE COAGULAÇÃO ;FATOR VII DE COAGULAÇÃO
784,FATOR X;PROTEÍNAS;FATOR II DE COAGULAÇÃO;FATOR IX DE COAGULAÇÃO;PROTEÍNA C;PROTEÍNA S;FATOR VII DE COAGULAÇÃO
785,FIBRINOGÊNIO
786,IMUNOGLOBULINA HUMANA
787,IMUNOGLOBULINA ANTI-RHO(D)
788,FATOR VIII DE COAGULAÇÃO;FATOR DE VON WILLEBRAND
789,ALFA1ANTITRIPSINA
790,INIBIDOR DE C1 ESTERASE DERIVADO DE PLASMA HUMANO
791,ALFA-ALBUTREPENONACOGUE
792,FATOR IX DE COAGULAÇÃO
793,ALFALONOCTOCOGUE
794,CEPA INFLUENZA TIPO A (H3N2);CEPA INFLUENZA TIPO A (H1N1);CEPA INFLUENZA TIPO B
795,DEXAMETASONA;SULFATO DE NEOMICINA;NISTATINA
796,ÓXIDO CÚPRICO;ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;ÓXIDO DE ZINCO;ÁCIDO ASCÓRBICO
797,ACETATO DE RACEALFATOCOFEROL;BETACAROTENO;SELÊNIO;COBRE;ÁCIDO ASCÓRBICO;ZINCO
798,CRATAEGUS RHIPIDOPHYLLA GAND.;PASSIFLORA INCARNATA;SALIX ALBA L.
799,TINIDAZOL;TIOCONAZOL
800,NICOTINAMIDA;SULFATO DE MANGANÊS;FOSFATO DE CÁLCIO DIBÁSICO ANIDRO;PALMITATO DE RETINOL;PANAX GINSENG C. A. MEY.;LECITINA DE SOJA;PANTOTENATO DE CÁLCIO;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;RUTOSÍDEO;FUMARATO FERROSO;SULFATO CÚPRICO PENTAIDRATADO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;GLICONATO DE POTÁSSIO;GLICONATO DE MAGNÉSIO;ÁCIDO FÓLICO;ÓXIDO DE ZINCO;COLECALCIFEROL
801,NICOTINAMIDA;SULFATO DE MANGANÊS;FOSFATO DE CÁLCIO DIBÁSICO ANIDRO;PALMITATO DE RETINOL;PANAX GINSENG C. A. MEY.;LECITINA DE SOJA;RIBOFLAVINA;CLORIDRATO DE PIRIDOXINA;OXIDO DE ZINCO;ÁCIDO ASCÓRBICO;CIANOCOBALAMINA;RUTOSÍDEO;FUMARATO FERROSO;SULFATO CÚPRICO PENTAIDRATADO;NITRATO DE TIAMINA;ACETATO DE RACEALFATOCOFEROL;GLICONATO DE POTÁSSIO;GLICONATO DE MAGNÉSIO;ÁCIDO FÓLICO;PANTOTENATO DE CALCIO;COLECALCIFEROL
802,VALERIANA OFFICINALIS L.
803,VITEX AGNUS-CASTUS L.
804,ACTAEA RACEMOSA L.
805,MELILOTUS OFFICINALIS LAM.
806,MELILOTUS OFFICINALIS (L.) PALL.
807,SERENOA REPENS (W. BARTRAM) SMALL
808,VIMPOCETINA
809,ÁCIDO ASCÓRBICO
810,CLORIDRATO DE PIRIDOXINA;ÁCIDO FÓLICO;CIANOCOBALAMINA
811,ORYZA SATIVA L.
812,GLICINATO DE MAGNÉSIO;CLORIDRATO DE PIRIDOXINA
813,PLANTAGO OVATA FORSSK.
814,ÁCIDO FÓLICO
815,PASSIFLORA INCARNATA
816,GLICINATO FÉRRICO
817,MECOBALAMINA
818,SULFATO CÚPRICO PENTAIDRATADO;SULFATO DE ZINCO HEPTAIDRATADO;CLORETO CRÔMICO HEXAIDRATADO
819,HEMITARTARATO DE VINORELBINA
820,BUSSULFANO
821,VINFLUNINA
822,CLORIDRATO DE PROPRANOLOL
823,ESTRIOL
824,DELTAFOLITROPINA
825,RIBAVIRINA (PORT. 344/98 LISTA C 1)
826,CLORIDRATO DE PALONOSETRONA
827,POSACONAZOL
828,PEMBROLIZUMABE
829,POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14 ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4 ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F ;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20
